No.,1,2,3,香調,中文名稱,英文名稱,屬性,廠牌,香味描述,by Gemini,,,代表作
1,TRUE,TRUE,TRUE,T,柑橘,Mandarin Base,Citrus,CW,,,,,
2,TRUE,TRUE,TRUE,T,佛手柑精油,Bergamot Oil,Citrus,深深,清新帶綠感的柑橘香，略帶花香與淡淡苦味，是許多香水的經典開場。,,,,
3,TRUE,TRUE,TRUE,T,苦檸檬,Bitter Lemon Base,Citrus,CW,,,,,
4,TRUE,TRUE,TRUE,T,葡萄柚,Grapefruit,"Citrus, Fruity",1688-正元,,,,,
5,TRUE,TRUE,TRUE,T,辛香料,Spices Base,Spicy,CW,,,,,
6,TRUE,TRUE,TRUE,T,粉紅胡椒(新),Pink Pepper,Spicy,深深,微甜、乾淨又帶有淡淡果香與花香的胡椒氣味，讓香氣更有活力。,,,,
7,TRUE,TRUE,TRUE,M,丁香,Clove,Spicy,深深,濃郁溫暖、略帶藥感與木質的香氣，常用來營造厚度與溫度感。,,,,
8,TRUE,TRUE,TRUE,T,醛香,Aldehyde Base,Aldehyde,CW,明亮閃耀、乾淨帶脂粉感的氣息，如皂香或清新空氣感，是許多經典香水的標誌開場。,,,,
9,TRUE,TRUE,TRUE,M,番茄葉,Tamato Leaf Base,"Green, Citrus",CW,,,,,
10,TRUE,TRUE,TRUE,M,桃子,Peach Base,Fruity,CW,,,,,
12,TRUE,TRUE,TRUE,M,無花果,Fig (Greece),"Green, Fruity",1688- 廣州匯芳緣 (羅伯特),柔滑奶感與綠葉並存，像切開無花果時的果乳香與嫩葉氣息。,,,,
13,TRUE,TRUE,TRUE,M,花蜜,Honey,Sweety,深深,濃郁的甜感中帶微酸與動物感，讓香氣更豐富圓潤。,,,,
11,TRUE,TRUE,TRUE,M,茶香桂花,Osmanthus Tea,"Green, Tea",深深,柔和花果香融合淡雅茶香，清潤細膩，如午後陽光下的桂花烏龍。,,,,
15,TRUE,TRUE,TRUE,M,茗紅,Black Tea,Tea,深深,,,,,
18,TRUE,TRUE,TRUE,M,玫瑰香基,Rose,Floral,1688-正元,經典的花香，清新、浪漫且略帶綠意或粉感。,,,,
16,TRUE,TRUE,TRUE,M,鈴蘭,Muguet Base,Floral,CW,,,,,
19,TRUE,TRUE,TRUE,M,大花茉莉花,Sampaquita Base (Jasmine Sambac Base),Floral,CW,浓郁又純淨的花香，略帶綠葉氣息與動物性底韻。,,,,
20,TRUE,TRUE,TRUE,M,菩提花,Linden Blossom Base,Floral,CW,帶蜂蜜感的柔軟花香，甜中帶草本氣息，像夏天樹蔭下的微風。,,,,
14,TRUE,TRUE,TRUE,M,大麻草,Cannabis,Green,深深,青草、泥土與微苦樹脂感並存，帶點放鬆與神祕氛圍。,,,,
17,TRUE,TRUE,TRUE,M,常春藤,Ivy Base,"Green, Woody",CW,,,,,
24,TRUE,TRUE,TRUE,L,鳶尾花,Iris Base,Floral,CW,帶粉質與木質氣息，優雅內斂，常作為高級香水的中後調。,,,,
22,TRUE,TRUE,TRUE,L,花梨木,Rosewood Base,Woody,CW,,,,,
25,TRUE,TRUE,TRUE,L,煙燻,Smocky Note,Woody,深深,帶焦木與乾燥煙氣，營造溫暖與深沉的氣氛。,,,,
33,TRUE,TRUE,TRUE,L,冷杉,Fir,Woody,深深,,,,,
32,TRUE,TRUE,TRUE,L,橡木,Oak Base,Woody,CW,,,,,
21,TRUE,TRUE,TRUE,L,苔蘚,Moss Base,"Mossy, Woody",CW,,,,,
26,TRUE,TRUE,TRUE,L,廣藿香,Patchouli Base,"Woody, Mossy",CW,潮濕泥土與木香兼具，帶溫暖草本氣息與微微甜韻。,,,,
27,TRUE,TRUE,TRUE,L,香根草,Vetiver Base,Woody,CW,乾淨土壤與根系香氣，沉穩、自然、帶煙燻感。,,,,
28,TRUE,TRUE,TRUE,L,土壤,Soil Note,Mossy,1688- 美馨,濕潤泥土氣味，帶自然雨後森林的氛圍。,,,,
23,TRUE,TRUE,TRUE,L,通卡豆,Coumarin,Balsam,深深,,,,,
29,TRUE,TRUE,TRUE,L,香蘭醛,Vanillin,Balsam,深深,濃郁甜美的香草氣息，帶奶感與溫暖幸福感。,,,,
30,TRUE,TRUE,TRUE,L,開司米酮,Casmierrone,"Musk, Woody",,柔滑粉感，像毛衣般溫柔的木麝氣息，帶一點琥珀甜感。,,,,
31,TRUE,TRUE,TRUE,L,白琥珀,White Amber Base,Animal,CW,溫暖甜潤、帶粉感與麝香尾韻，柔和乾淨。,,,,
34,TRUE,TRUE,TRUE,L,龍涎香,Ambergris Base,Animal,CW,濕潤海洋氣息中帶鹹與奶感，使香氣持久且高貴。,,,,
35,TRUE,TRUE,TRUE,L,麝貓香,Civet Cat,Animal,深深,帶強烈動物氣息與微甜花韻，用量少能增添香氣深度。,,,,
36,TRUE,TRUE,TRUE,L,海狸香,Beaver Oil,Animal,深深,動物性皮革調，夾帶焦糖與煙草韻，為香氣增添深度與性感氣息。,,,,
,,,,,,,,,,,,,
,,,,**粗體表示有小團體庫存,,,,,,,,,
